Ticker,Option Type,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,Premium % Gain,Implied Volatility,Delta,Theta,Bid,Ask,Last Premium,Bid Date,Ask Date,Volume,Allocated ($),Simulated Value ($),Run_Label
rddt,call,2025-11-21,140,19.57,117.09,128.8,15.3,17.19,162,45,10.0,12.36,71.53,0.4636,-0.0727,14.65,15.4,15.3,2025-06-10 19:59:59,2025-06-10 19:59:59,4,100,112.36,MShort-Term
rddt,call,2025-11-21,145,23.84,117.09,128.8,14.3,15.43,162,45,10.0,7.91,71.23,0.4336,-0.0715,13.75,14.0,14.3,2025-06-10 19:59:58,2025-06-10 19:59:58,0,100,107.91,MShort-Term
aapl,put,2025-11-21,160,21.05,202.67,222.94,3.2,0.66,162,45,10.0,-79.31,35.76,-0.1206,-0.027,3.2,3.3,3.2,2025-06-10 19:59:59,2025-06-10 19:59:59,303,100,20.69,MShort-Term
aapl,put,2025-11-21,165,18.59,202.67,222.94,4.13,0.87,162,45,10.0,-78.95,34.96,-0.1443,-0.0296,3.85,3.95,4.13,2025-06-10 19:59:59,2025-06-10 19:59:59,3,100,21.05,MShort-Term
aapl,put,2025-12-19,160,21.05,202.67,222.94,3.8,0.96,190,45,10.0,-74.82,34.91,-0.1291,-0.0253,3.65,3.75,3.8,2025-06-10 19:59:59,2025-06-10 19:59:59,12,100,25.18,MShort-Term
aapl,put,2025-12-19,165,18.59,202.67,222.94,4.45,1.22,190,45,10.0,-72.6,34.15,-0.1526,-0.0275,4.4,4.5,4.45,2025-06-10 19:59:59,2025-06-10 19:59:59,31,100,27.4,MShort-Term
msft,put,2025-12-19,375,20.37,470.92,518.01,5.29,0.95,190,45,10.0,-82.04,29.08,-0.1026,-0.0413,5.15,5.3,5.29,2025-06-10 19:59:59,2025-06-10 19:59:59,4,100,17.96,MShort-Term
msft,put,2025-12-19,380,19.31,470.92,518.01,6.0,1.05,190,45,10.0,-82.54,28.6,-0.1111,-0.0428,5.65,5.8,6.0,2025-06-10 19:59:59,2025-06-10 19:59:59,17,100,17.46,MShort-Term
amd,put,2025-11-21,100,18.86,123.24,135.56,4.88,1.77,162,45,10.0,-63.72,47.55,-0.1928,-0.0297,4.8,4.9,4.88,2025-06-10 20:00:00,2025-06-10 20:00:00,823,100,36.28,MShort-Term
amd,put,2025-11-21,95,22.91,123.24,135.56,3.71,1.22,162,45,10.0,-67.11,48.23,-0.1538,-0.0263,3.7,3.8,3.71,2025-06-10 20:00:00,2025-06-10 20:00:00,327,100,32.89,MShort-Term
amd,put,2025-12-19,100,18.86,123.24,135.56,5.4,2.25,190,45,10.0,-58.3,46.35,-0.1987,-0.027,5.4,5.55,5.4,2025-06-10 19:59:59,2025-06-10 19:59:59,139,100,41.7,MShort-Term
amd,put,2025-12-19,95,22.91,123.24,135.56,4.3,1.68,190,45,10.0,-60.85,47.57,-0.1628,-0.0247,4.25,4.35,4.3,2025-06-10 20:00:00,2025-06-10 20:00:00,137,100,39.15,MShort-Term
nvda,put,2025-11-21,115,20.12,143.96,158.36,4.9,1.66,162,45,10.0,-66.13,46.36,-0.1756,-0.032,4.85,4.9,4.9,2025-06-10 19:59:59,2025-06-10 19:59:59,367,100,33.87,MShort-Term
nvda,put,2025-11-21,120,16.64,143.96,158.36,6.2,2.23,162,45,10.0,-63.98,45.55,-0.2109,-0.0348,6.05,6.15,6.2,2025-06-10 20:00:00,2025-06-10 20:00:00,392,100,36.02,MShort-Term
nvda,put,2025-12-19,115,20.12,143.96,158.36,5.78,2.29,190,45,10.0,-60.34,46.04,-0.185,-0.03,5.65,5.75,5.78,2025-06-10 19:59:59,2025-06-10 19:59:59,474,100,39.66,MShort-Term
nvda,put,2025-12-19,116,19.42,143.96,158.36,6.11,2.42,190,45,10.0,-60.32,45.92,-0.1916,-0.0306,5.9,6.0,6.11,2025-06-10 19:59:59,2025-06-10 19:59:59,22,100,39.68,MShort-Term
u,put,2025-11-21,20,19.48,24.84,27.32,1.98,1.06,162,45,10.0,-46.56,70.51,-0.2331,-0.0101,1.93,2.17,1.98,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,53.44,MShort-Term
u,put,2025-11-21,19,23.51,24.84,27.32,1.6,0.79,162,45,10.0,-50.67,69.68,-0.1997,-0.0092,1.55,1.73,1.6,2025-06-10 19:59:58,2025-06-10 19:59:58,0,100,49.33,MShort-Term
u,put,2025-12-19,20,19.48,24.84,27.32,2.45,1.27,190,45,10.0,-47.97,69.04,-0.236,-0.0091,2.13,2.36,2.45,2025-06-10 19:59:57,2025-06-10 19:59:57,3,100,52.03,MShort-Term
u,put,2025-12-19,19,23.51,24.84,27.32,1.73,1.0,190,45,10.0,-41.97,68.96,-0.2053,-0.0085,1.74,1.97,1.73,2025-06-10 19:59:58,2025-06-10 19:59:58,0,100,58.03,MShort-Term
rddt,put,2025-11-21,95,18.87,117.09,128.8,11.0,5.95,162,45,10.0,-45.89,74.82,-0.2422,-0.0518,10.7,11.3,11.0,2025-06-10 19:59:58,2025-06-10 19:59:58,0,100,54.11,MShort-Term
rddt,put,2025-11-21,90,23.14,117.09,128.8,8.91,4.53,162,45,10.0,-49.17,74.28,-0.2089,-0.0475,8.8,9.15,8.91,2025-06-10 19:59:59,2025-06-10 19:59:59,1,100,50.83,MShort-Term
aapl,call,2026-02-20,265,30.75,202.67,253.34,3.45,16.02,253,75,25.0,364.46,26.04,0.1578,-0.0238,3.25,3.4,3.45,2025-06-10 19:59:59,2025-06-10 19:59:59,1,100,464.46,Mid-Term
aapl,call,2026-02-20,260,28.29,202.67,253.34,4.1,18.2,253,75,25.0,343.83,26.08,0.1803,-0.0261,3.85,4.0,4.1,2025-06-10 19:59:59,2025-06-10 19:59:59,9,100,443.83,Mid-Term
aapl,call,2026-03-20,260,28.29,202.67,253.34,4.5,20.05,281,75,25.0,345.56,26.1,0.1995,-0.0266,4.6,4.75,4.5,2025-06-10 19:59:59,2025-06-10 19:59:59,23,100,445.56,Mid-Term
