Ticker,Option Type,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,Premium % Gain,Implied Volatility,Delta,Theta,Bid,Ask,Last Premium,Bid Date,Ask Date,Volume,Allocated ($),Simulated Value ($),Run_Label
aapl,call,2026-03-20,270,33.22,202.67,283.74,3.4,32.43,281,90,40.0,853.82,25.94,0.1551,-0.0223,3.35,3.45,3.4,2025-06-10 19:59:59,2025-06-10 19:59:59,46,100,953.82,Mid-Term
msft,call,2026-03-20,610,29.53,470.92,659.29,4.75,78.68,281,90,40.0,1556.5,20.79,0.1206,-0.0356,4.25,4.9,4.75,2025-06-10 19:59:59,2025-06-10 19:59:59,29,100,1656.5,Mid-Term
msft,call,2026-03-20,620,31.66,470.92,659.29,4.05,71.56,281,90,40.0,1666.87,20.67,0.1022,-0.0313,3.7,4.05,4.05,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,1766.87,Mid-Term
amd,call,2026-02-20,160,29.83,123.24,172.54,8.3,28.5,253,90,40.0,243.36,44.47,0.3317,-0.0364,8.3,8.45,8.3,2025-06-10 20:00:00,2025-06-10 20:00:00,1,100,343.36,Mid-Term
amd,call,2026-02-20,165,33.89,123.24,172.54,7.55,25.94,253,90,40.0,243.54,44.78,0.3043,-0.0352,7.4,7.5,7.55,2025-06-10 20:00:00,2025-06-10 20:00:00,13,100,343.54,Mid-Term
amd,call,2026-03-20,160,29.83,123.24,172.54,9.3,30.34,281,90,40.0,226.19,44.45,0.3498,-0.0356,9.25,9.4,9.3,2025-06-10 19:59:59,2025-06-10 19:59:59,10,100,326.19,Mid-Term
amd,call,2026-03-20,165,33.89,123.24,172.54,8.2,27.72,281,90,40.0,238.11,44.52,0.3217,-0.0343,8.25,8.4,8.2,2025-06-10 20:00:00,2025-06-10 20:00:00,2,100,338.11,Mid-Term
nvda,call,2026-03-20,185,28.51,143.96,201.54,10.2,35.33,281,90,40.0,246.42,42.19,0.3446,-0.0394,10.1,10.75,10.2,2025-06-10 19:59:59,2025-06-10 19:59:59,124,100,346.42,Mid-Term
nvda,call,2026-03-20,190,31.98,143.96,201.54,9.3,32.71,281,90,40.0,251.71,42.45,0.3203,-0.0383,9.05,9.5,9.3,2025-06-10 19:59:59,2025-06-10 19:59:59,707,100,351.71,Mid-Term
u,call,2026-03-20,32,28.82,24.84,34.78,5.2,8.48,281,90,40.0,63.02,69.28,0.4779,-0.0116,2.99,5.1,5.2,2025-06-10 19:59:57,2025-06-10 19:59:57,0,100,163.02,Mid-Term
aapl,put,2026-02-20,140,30.92,202.67,152.0,2.6,8.13,253,90,-25.0,212.88,37.64,-0.0792,-0.0166,2.56,2.64,0.0,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,312.88,Mid-Term
aapl,put,2026-02-20,145,28.46,202.67,152.0,3.05,9.79,253,90,-25.0,220.94,36.66,-0.0927,-0.0181,3.0,3.1,0.0,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,320.94,Mid-Term
aapl,put,2026-03-20,140,30.92,202.67,152.0,3.15,8.83,281,90,-25.0,180.27,37.14,-0.0843,-0.0162,2.9,2.96,3.15,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,280.27,Mid-Term
aapl,put,2026-03-20,145,28.46,202.67,152.0,3.4,10.54,281,90,-25.0,210.02,36.32,-0.0986,-0.0176,3.4,3.5,3.4,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,310.02,Mid-Term
msft,put,2026-03-20,330,29.92,470.92,353.19,4.25,17.28,281,90,-25.0,306.67,31.48,-0.0649,-0.026,4.05,4.2,4.25,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,406.67,Mid-Term
msft,put,2026-03-20,320,32.05,470.92,353.19,3.75,14.45,281,90,-25.0,285.43,32.27,-0.0556,-0.0237,3.45,3.6,3.75,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,385.43,Mid-Term
amd,put,2026-02-20,85,31.03,123.24,92.43,3.51,7.28,253,90,-25.0,107.42,48.68,-0.1189,-0.0176,3.45,3.55,3.51,2025-06-10 20:00:00,2025-06-10 20:00:00,2,100,207.42,Mid-Term
amd,put,2026-02-20,90,26.97,123.24,92.43,4.7,9.4,253,90,-25.0,99.93,47.9,-0.147,-0.0199,4.45,4.55,4.7,2025-06-10 20:00:00,2025-06-10 20:00:00,0,100,199.93,Mid-Term
amd,put,2026-03-20,85,31.03,123.24,92.43,3.99,7.91,281,90,-25.0,98.36,48.24,-0.1241,-0.0169,3.85,3.95,3.99,2025-06-10 20:00:00,2025-06-10 20:00:00,7,100,198.36,Mid-Term
amd,put,2026-03-20,90,26.97,123.24,92.43,4.9,10.01,281,90,-25.0,104.23,47.33,-0.1514,-0.0188,4.85,4.95,4.9,2025-06-10 20:00:00,2025-06-10 20:00:00,4,100,204.23,Mid-Term
nvda,put,2026-03-20,100,30.54,143.96,107.97,4.57,9.4,281,90,-25.0,105.59,47.67,-0.1259,-0.0197,4.5,4.6,4.57,2025-06-10 19:59:59,2025-06-10 19:59:59,107,100,205.59,Mid-Term
nvda,put,2026-03-20,105,27.06,143.96,107.97,5.55,11.48,281,90,-25.0,106.85,46.84,-0.1492,-0.0215,5.55,5.85,5.55,2025-06-10 20:00:00,2025-06-10 20:00:00,82,100,206.85,Mid-Term
u,put,2026-03-20,18,27.54,24.84,18.63,2.2,3.08,281,90,-25.0,39.89,69.71,-0.1907,-0.0066,2.04,2.21,2.2,2025-06-10 19:59:57,2025-06-10 19:59:57,11,100,139.89,Mid-Term
aapl,call,2026-12-18,390,92.43,202.67,506.67,1.29,136.43,554,270,150.0,10476.21,26.68,0.0485,-0.0069,1.17,1.23,1.29,2025-06-10 19:59:59,2025-06-10 19:59:59,2,100,10576.21,Long-Term
aapl,call,2026-12-18,380,87.5,202.67,506.67,1.49,144.87,554,270,150.0,9623.07,26.51,0.0556,-0.0076,1.36,1.43,1.49,2025-06-10 19:59:59,2025-06-10 19:59:59,1,100,9723.07,Long-Term
amd,call,2026-12-18,230,86.63,123.24,308.1,7.1,98.28,554,270,150.0,1284.29,44.73,0.2295,-0.021,7.1,7.25,7.1,2025-06-10 20:00:00,2025-06-10 20:00:00,3,100,1384.29,Long-Term
amd,call,2026-12-18,240,94.74,123.24,308.1,6.4,91.61,554,270,150.0,1331.33,45.1,0.21,-0.02,6.3,6.4,6.4,2025-06-10 20:00:00,2025-06-10 20:00:00,1,100,1431.33,Long-Term
nvda,call,2026-12-18,275,91.03,143.96,359.9,7.62,110.22,554,270,150.0,1346.4,44.54,0.215,-0.0234,7.1,8.05,7.62,2025-06-10 19:59:59,2025-06-10 19:59:59,19,100,1446.4,Long-Term
nvda,call,2026-12-18,270,87.55,143.96,359.9,7.85,113.43,554,270,150.0,1345.0,44.15,0.2214,-0.0237,7.5,8.45,7.85,2025-06-10 19:59:59,2025-06-10 19:59:59,3,100,1445.0,Long-Term
aapl,put,2026-12-18,120,40.79,202.67,81.07,3.76,36.74,554,270,-60.0,877.2,37.88,-0.072,-0.01,3.6,3.75,3.76,2025-06-10 19:59:59,2025-06-10 19:59:59,4,100,977.2,Long-Term
aapl,put,2026-12-18,125,38.32,202.67,81.07,4.45,40.96,554,270,-60.0,820.4,37.19,-0.0823,-0.0108,4.15,4.3,4.45,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,920.4,Long-Term
msft,put,2026-12-18,285,39.48,470.92,188.37,5.9,88.86,554,270,-60.0,1406.04,33.11,-0.0605,-0.0177,5.7,5.95,5.9,2025-06-10 19:59:59,2025-06-10 19:59:59,8,100,1506.04,Long-Term
msft,put,2026-12-18,280,40.54,470.92,188.37,5.5,84.54,554,270,-60.0,1437.08,33.39,-0.0565,-0.017,5.3,5.6,5.5,2025-06-10 19:59:59,2025-06-10 19:59:59,2,100,1537.08,Long-Term
amd,put,2026-12-18,75,39.14,123.24,49.3,5.43,25.44,554,270,-60.0,368.57,48.7,-0.1125,-0.0108,5.25,5.35,5.43,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,468.57,Long-Term
nvda,put,2026-12-18,86,40.26,143.96,57.58,6.2,28.46,554,270,-60.0,359.01,49.11,-0.1077,-0.0124,5.85,6.0,6.2,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,459.01,Long-Term
nvda,put,2026-12-18,87,39.57,143.96,57.58,6.4,29.26,554,270,-60.0,357.13,48.95,-0.111,-0.0126,6.05,6.2,6.4,2025-06-10 19:59:59,2025-06-10 19:59:59,0,100,457.13,Long-Term
